sample_ID;ID;code;place;habitat;habitat_norm;sampling;depth;date;;latitude;longitude;MBC;fixative;Mesh
ADA_1_1_20;ADA 1-1;ADA 1-1;Road Bay;sediment, sand;sand;benna da gommone;40;30/12/2018;;-74,69832;164,12683;200, 100, 50, 20;ethanol;20
ADA_1_1_50;ADA 1-1;ADA 1-1;Road Bay;sediment, sand;sand;benna da gommone;40;30/12/2018;;-74,69832;164,12683;200, 100, 50, 20;ethanol;50
ADA_1_1_100;ADA 1-1;ADA 1-1;Road Bay;sediment, sand;sand;benna da gommone;40;30/12/2018;;-74,69832;164,12683;200, 100, 50, 20;ethanol;100
ADA_1_1_200;ADA 1-1;ADA 1-1;Road Bay;sediment, sand;sand;benna da gommone;40;30/12/2018;;-74,69832;164,12683;200, 100, 50, 20;ethanol;200
ADA_1_3_20;ADA 1-3;ADA 1-3;Road Bay;sediment, silty sand;sand;benna da gommone;40;30/12/2018;;-74,69832;164,12683;200, 100, 50, 20;ethanol;20
ADA_1_3_50;ADA 1-3;ADA 1-3;Road Bay;sediment, silty sand;sand;benna da gommone;40;30/12/2018;;-74,69832;164,12683;200, 100, 50, 20;ethanol;50
ADA_1_3_100;ADA 1-3;ADA 1-3;Road Bay;sediment, silty sand;sand;benna da gommone;40;30/12/2018;;-74,69832;164,12683;200, 100, 50, 20;ethanol;100
ADA_1_3_200;ADA 1-3;ADA 1-3;Road Bay;sediment, silty sand;sand;benna da gommone;40;30/12/2018;;-74,69832;164,12683;200, 100, 50, 20;ethanol;200
ADA_1_4_20;ADA 1-4;ADA 1-4;Road Bay;sediment, silt;silt;benna da gommone;70;17/01/2019;;-74,6968;164,1222;200, 100, 50, 20;ethanol;20
ADA_1_4_50;ADA 1-4;ADA 1-4;Road Bay;sediment, silt;silt;benna da gommone;70;17/01/2019;;-74,6968;164,1222;200, 100, 50, 20;ethanol;50
ADA_1_4_100;ADA 1-4;ADA 1-4;Road Bay;sediment, silt;silt;benna da gommone;70;17/01/2019;;-74,6968;164,1222;200, 100, 50, 20;ethanol;100
ADA_1_4_200;ADA 1-4;ADA 1-4;Road Bay;sediment, silt;silt;benna da gommone;70;17/01/2019;;-74,6968;164,1222;200, 100, 50, 20;ethanol;200
ADA_1_5_20;ADA 1-5;ADA 1-5;Road Bay;gravel;gravel;benna da gommone;19;17/01/2019;;-74,6968;164,1222;200, 100, 50, 20;ethanol;20
ADA_1_5_50;ADA 1-5;ADA 1-5;Road Bay;gravel;gravel;benna da gommone;19;17/01/2019;;-74,6968;164,1222;200, 100, 50, 20;ethanol;50
ADA_1_5_100;ADA 1-5;ADA 1-5;Road Bay;gravel;gravel;benna da gommone;19;17/01/2019;;-74,6968;164,1222;200, 100, 50, 20;ethanol;100
ADA_1_5_200;ADA 1-5;ADA 1-5;Road Bay;gravel;gravel;benna da gommone;19;17/01/2019;;-74,6968;164,1222;200, 100, 50, 20;ethanol;200
ADCO_1_20;ADCO 1;ADCO 1;Adelie Cove;epilithic scraping, bryozoans;epilithic;benna da gommone;33;03/01/2019;;-74,7719;163,98969;200, 100, 50, 20;ethanol;20
ADCO_1_50;ADCO 1;ADCO 1;Adelie Cove;epilithic scraping, bryozoans;epilithic;benna da gommone;33;03/01/2019;;-74,7719;163,98969;200, 100, 50, 20;ethanol;50
ADCO_1_100;ADCO 1;ADCO 1;Adelie Cove;epilithic scraping, bryozoans;epilithic;benna da gommone;33;03/01/2019;;-74,7719;163,98969;200, 100, 50, 20;ethanol;100
ADCO_1_200;ADCO 1;ADCO 1;Adelie Cove;epilithic scraping, bryozoans;epilithic;benna da gommone;33;03/01/2019;;-74,7719;163,98969;200, 100, 50, 20;ethanol;200
ADCO_2_20;ADCO 2;ADCO 2;Adelie Cove;sediment, silt;silt;benna da gommone;33;03/01/2019;;-74,7719;163,98969;200, 100, 50, 20;ethanol;20
ADCO_2_50;ADCO 2;ADCO 2;Adelie Cove;sediment, silt;silt;benna da gommone;33;03/01/2019;;-74,7719;163,98969;200, 100, 50, 20;ethanol;50
ADCO_2_100;ADCO 2;ADCO 2;Adelie Cove;sediment, silt;silt;benna da gommone;33;03/01/2019;;-74,7719;163,98969;200, 100, 50, 20;ethanol;100
ADCO_2_200;ADCO 2;ADCO 2;Adelie Cove;sediment, silt;silt;benna da gommone;33;03/01/2019;;-74,7719;163,98969;200, 100, 50, 20;ethanol;200
ADCO_3_20;ADCO 3;ADCO 3;Adelie Cove;sediment, silt;silt;benna da gommone;38;03/01/2019;;-74,7721;164,00042;200, 100, 50, 20;ethanol;20
ADCO_3_50;ADCO 3;ADCO 3;Adelie Cove;sediment, silt;silt;benna da gommone;38;03/01/2019;;-74,7721;164,00042;200, 100, 50, 20;ethanol;50
ADCO_3_100;ADCO 3;ADCO 3;Adelie Cove;sediment, silt;silt;benna da gommone;38;03/01/2019;;-74,7721;164,00042;200, 100, 50, 20;ethanol;100
ADCO_3_200;ADCO 3;ADCO 3;Adelie Cove;sediment, silt;silt;benna da gommone;38;03/01/2019;;-74,7721;164,00042;200, 100, 50, 20;ethanol;200
ADCO_4_20;ADCO 4;ADCO 4;Adelie Cove;epilithic scraping, on stone;epilithic;benna da gommone;58;03/01/2019;;-74,77033;164,00135;200, 100, 50, 20;ethanol;20
ADCO_4_50;ADCO 4;ADCO 4;Adelie Cove;epilithic scraping, on stone;epilithic;benna da gommone;58;03/01/2019;;-74,77033;164,00135;200, 100, 50, 20;ethanol;50
