taxa;Ref1;Ref10;Ref2;Ref3;Ref4;Ref5;Ref6;Ref7;Ref8;Ref9
total_reads;19030955;246430;725419;406516;1463419;46112;396839;11064399;764765;249180
Acari;11;13;5;4;1;1;6;22;63;0
Annelida;40;1;7;17;0;6;41;46;168;5
Branchiopoda;5;0;0;0;0;1;2;3;0;0
Cnidaria;1;0;0;0;0;0;0;0;0;0
Copepoda;1203;33;98;33;160;44;85;329;86;9
Gastrotricha;92;14;48;4;2;3;11;24;143;1
Gnathostomulida;42;0;3;0;0;0;0;0;0;0
Kinorhyncha;0;7;0;1;0;1;0;6;0;0
Mollusca;0;0;0;0;0;0;2;0;1;0
Nematoda;1026;415;170;97;235;78;60;886;957;18
Nemertea;9;3;3;1;0;0;8;0;1;2
Ostracoda;186;29;10;20;11;6;31;47;30;12
Platyhelminthes;197;26;48;9;1;17;36;335;713;0
Rotifera;21;1;1;1;4;1;0;14;2;0
Tardigrada;19;0;3;0;5;0;0;3;27;0
Xenacoelomorpha;38;1;1;19;0;0;9;61;46;0
