R;studyid;regional_location;sample;latitude;longitude
Garcia-Cobo et al., 2026;Ref1;Antarctica;Spiaggetta, Thethys Bay;-74,70112;164,04197
Garcia-Cobo et al., 2026;Ref1;Antarctica;Punta Nord;-74,67562;164,06948
Garcia-Cobo et al., 2026;Ref1;Antarctica;Mareografo;-74,69165;164,11683
Garcia-Cobo et al., 2026;Ref1;Antarctica;Amorphous Glacier;-74,68722;164,0366
Garcia-Cobo et al., 2026;Ref1;Antarctica;Road Bay;-74,69832;164,12683
Garcia-Cobo et al., 2026;Ref1;Antarctica;Adelie Cove;-74,7719;163,98969
Garcia-Cobo et al., 2026;Ref1;Antarctica;Faraglione;-74,71727;164,11276
Garcia-Cobo et al., 2026;Ref1;Antarctica;campione Marco Lo Martire;-74,77267;164,96852
Polinski et al., 2019;Ref10;Massachussetts, Atlantic;site 1;42,570278;-70,489444
Polinski et al., 2019;Ref10;Massachussetts, Atlantic;site 2;42,555833;-70,4911111
Polinski et al., 2019;Ref10;Massachussetts, Atlantic;site 3;42,538889;-70,482778
Martínez et al., 2020;Ref2;Asinara ;15;41,10278;8,327107
Martínez et al., 2020;Ref2;Asinara ;16_17;41,0860311;8,3489042
Martínez et al., 2020;Ref2;Asinara ;18;41,054728;8,3246909
Martínez et al., 2020;Ref2;Asinara ;02_03_12;41,06170448;8,2923758
Martínez et al., 2020;Ref2;Asinara ;4;41,05781;8,27659604
Martínez et al., 2020;Ref2;Asinara ;10;41,0511015;8,26652676
Martínez et al., 2020;Ref2;Asinara ;11;41,0129398;8,25168795
Martínez et al., 2020;Ref2;Asinara ;9;40,989149;8,2208149
Mauffrey et al., 2020;Ref3;offshore, Northsea;offshore, Northsea;54,7837582;6,199627342
Degenhardt et al., 2021;Ref4;Germany, Northsea;Germany, Northsea;53,77357958;7,67848718
Fonseca et al., 2017;Ref5;Antarctica;Antarctica;-67,5840796;-68,1711589
Haenel et al., 2017;Ref6;Skagerrak, North Sea;Skagerrak, North Sea;58,34025623;11,2118631
Atherton & Jondelius, 2020;Ref7;Skagerrak, North Sea;Skagerrak, North Sea;58,87520511;11,1124019
Kapshyna et al., 2024;Ref8;Ahrenshoop, Germany, Baltic Sea;Ahrenshoop, Germany, Baltic Sea;54,40137796;12,43864732
Mazurkiewicz2024;Ref9;;Svalbard, Artic;77,7923169;15,53621919
