taxa;Ref1;Ref10;Ref2;Ref3;Ref4;Ref5;Ref6;Ref7;Ref8;Ref9
total_reads;19030418;246430;725419;406516;1463385;46077;397540;11064399;764765;249180
Acari;9;13;5;4;1;1;6;22;63;0
Annelida;40;1;7;17;0;6;41;46;168;5
Branchiopoda;5;0;0;0;0;1;2;3;0;0
Cnidaria;1;0;0;0;0;0;0;0;0;0
Copepoda;1114;33;98;33;156;42;85;329;86;9
Gastrotricha;82;14;48;4;2;1;11;24;143;1
Gnathostomulida;41;0;3;0;0;0;0;0;0;0
Kinorhyncha;0;7;0;1;0;1;0;6;0;0
Mollusca;0;0;0;0;0;0;2;0;1;0
Nematoda;937;415;170;97;226;69;60;886;957;18
Nemertea;7;3;3;1;0;0;13;0;1;2
Ostracoda;173;29;10;20;11;5;31;47;30;12
Platyhelminthes;177;26;48;9;1;17;36;335;713;0
Rotifera;21;1;1;1;4;1;0;14;2;0
Tardigrada;16;0;3;0;5;0;0;3;27;0
Xenacoelomorpha;34;1;1;19;0;0;9;61;46;0
