ASVid2_2;ASVid2_1;study1;study2;similarity;ASVid2_1_dataset;ASVid2_1_nreads;ASVid2_1_nsamples;ASVid2_1_sequence.length;ASVid2_1_bestgroup;ASVid2_1_sistergroup;ASVid2_2_dataset;ASVid2_2_nreads;ASVid2_2_nsamples;ASVid2_2_sequence.length;ASVid2_2_bestgroup;ASVid2_2_sistergroup
Ref10_ASV_0008;Ref1_ASV_1313;Ref1;Ref10;1;Data18S_Antarctica_v2;1061;5;374;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta filiformis|KY704339;Data18S_Polinski2019_v2;31198;2;374;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta filiformis|KY704339
Ref10_ASV_0069;Ref1_ASV_0181;Ref1;Ref10;1;Data18S_Antarctica_v2;40348;129;364;Nematoda;Nematoda|Monhysterida|Monhysteridae|Eumonhystera filiformis|AY593937;Data18S_Polinski2019_v2;1812;5;364;Nematoda;Nematoda|Monhysterida|Monhysteridae|Eumonhystera filiformis|AY593937
Ref10_ASV_0083;Ref1_ASV_4560;Ref1;Ref10;1;Data18S_Antarctica_v2;81;3;398;Annelida;Annelida|Polychaeta|Cirratulidae|Raricirrus sp. 214384252|MH302600;Data18S_Polinski2019_v2;1280;2;398;Annelida;Annelida|Polychaeta|Chaetopteridae|Mesochaetopterus japonicus|DQ209218
Ref10_ASV_0083;Ref1_ASV_4560;Ref1;Ref10;1;Data18S_Antarctica_v2;81;3;398;Annelida;Annelida|Polychaeta|Cirratulidae|Raricirrus sp. 214384229|MH302616;Data18S_Polinski2019_v2;1280;2;398;Annelida;Annelida|Polychaeta|Chaetopteridae|Mesochaetopterus japonicus|DQ209218
Ref10_ASV_0083;Ref1_ASV_4560;Ref1;Ref10;1;Data18S_Antarctica_v2;81;3;398;Annelida;Annelida|Polychaeta|Cirratulidae|Raricirrus sp. 214384276|MH302570;Data18S_Polinski2019_v2;1280;2;398;Annelida;Annelida|Polychaeta|Chaetopteridae|Mesochaetopterus japonicus|DQ209218
Ref10_ASV_0315;Ref1_ASV_8735;Ref1;Ref10;1;Data18S_Antarctica_v2;12;2;363;Nematoda;Nematoda|Monhysterida|Monhysteridae|Halomonhystera sp. JvC-2013|HF572952;Data18S_Polinski2019_v2;217;3;363;Nematoda;Nematoda|Monhysterida|Monhysteridae|Halomonhystera sp. JvC-2013|HF572952
Ref10_ASV_1311;Ref1_ASV_9910;Ref1;Ref10;1;Data18S_Antarctica_v2;8;1;362;Nematoda;Nematoda|Monhysterida|Monhysteridae|Diplolaimelloides delyi|AM748762;Data18S_Polinski2019_v2;7;1;362;Nematoda;Nematoda|Monhysterida|Monhysteridae|Monhystrella parvella|KJ546080
Ref10_ASV_1311;Ref1_ASV_9910;Ref1;Ref10;1;Data18S_Antarctica_v2;8;1;362;Nematoda;Nematoda|Monhysterida|Monhysteridae|Diplolaimelloides delyi|AM748762;Data18S_Polinski2019_v2;7;1;362;Nematoda;Nematoda|Monhysterida|Monhysteridae|Monhystrella parvella|KJ546081
Ref2_ASV_0224;Ref10_ASV_0241;Ref10;Ref2;1;Data18S_Polinski2019_v2;329;2;366;Gastrotricha;Gastrotricha|Chaetonotida|Chaetonotidae|Chaetonotus schultzei|JQ798596;Data18S_Asinara_v2;351;2;366;Gastrotricha;Gastrotricha|Chaetonotida|Chaetonotidae|Chaetonotus schultzei|JQ798596
Ref5_ASV_0001;Ref1_ASV_0157;Ref1;Ref5;1;Data18S_Antarctica_v2;52165;51;367;Platyhelminthes;Platyhelminthes|Macrostomorpha|Dolichomacrostomidae|Dolichomacrostomum uniporum|FJ715295;Data18S_Fonseca2017;12575;12;400;Platyhelminthes;Platyhelminthes|Macrostomorpha|Dolichomacrostomidae|Dolichomacrostomum uniporum|FJ715295
Ref5_ASV_0002;Ref1_ASV_0007;Ref1;Ref5;1;Data18S_Antarctica_v2;1120763;206;374;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta filiformis|KY704339;Data18S_Fonseca2017;5135;7;400;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta filiformis|KY704339
Ref5_ASV_0002;Ref1_ASV_0007;Ref1;Ref5;1;Data18S_Antarctica_v2;1120763;206;374;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta filiformis|KY704339;Data18S_Fonseca2017;5135;7;400;Annelida;Annelida|Polychaeta|Cirratulidae|Monticellina sp. 196-APE-0713|MK971142
Ref5_ASV_0002;Ref1_ASV_0007;Ref1;Ref5;1;Data18S_Antarctica_v2;1120763;206;374;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta filiformis|KY704339;Data18S_Fonseca2017;5135;7;400;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta sp. 375 PB|MK971136
Ref5_ASV_0002;Ref1_ASV_0007;Ref1;Ref5;1;Data18S_Antarctica_v2;1120763;206;374;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta sp. 375 PB|MK971136;Data18S_Fonseca2017;5135;7;400;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta filiformis|KY704339
Ref5_ASV_0002;Ref1_ASV_0007;Ref1;Ref5;1;Data18S_Antarctica_v2;1120763;206;374;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta sp. 375 PB|MK971136;Data18S_Fonseca2017;5135;7;400;Annelida;Annelida|Polychaeta|Cirratulidae|Monticellina sp. 196-APE-0713|MK971142
Ref5_ASV_0002;Ref1_ASV_0007;Ref1;Ref5;1;Data18S_Antarctica_v2;1120763;206;374;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta sp. 375 PB|MK971136;Data18S_Fonseca2017;5135;7;400;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta sp. 375 PB|MK971136
Ref5_ASV_0002;Ref1_ASV_0007;Ref1;Ref5;1;Data18S_Antarctica_v2;1120763;206;374;Annelida;Annelida|Polychaeta|Cirratulidae|Monticellina sp. 196-APE-0713|MK971142;Data18S_Fonseca2017;5135;7;400;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta filiformis|KY704339
Ref5_ASV_0002;Ref1_ASV_0007;Ref1;Ref5;1;Data18S_Antarctica_v2;1120763;206;374;Annelida;Annelida|Polychaeta|Cirratulidae|Monticellina sp. 196-APE-0713|MK971142;Data18S_Fonseca2017;5135;7;400;Annelida;Annelida|Polychaeta|Cirratulidae|Monticellina sp. 196-APE-0713|MK971142
Ref5_ASV_0002;Ref1_ASV_0007;Ref1;Ref5;1;Data18S_Antarctica_v2;1120763;206;374;Annelida;Annelida|Polychaeta|Cirratulidae|Monticellina sp. 196-APE-0713|MK971142;Data18S_Fonseca2017;5135;7;400;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta sp. 375 PB|MK971136
Ref5_ASV_0013;Ref1_ASV_0227;Ref1;Ref5;1;Data18S_Antarctica_v2;27904;9;374;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta filiformis|KY704339;Data18S_Fonseca2017;639;3;400;Annelida;Annelida|Polychaeta|Cirratulidae|Aphelochaeta filiformis|KY704339
Ref5_ASV_0015;Ref1_ASV_4213;Ref1;Ref5;1;Data18S_Antarctica_v2;97;2;368;Priapulida;Priapulida|Priapulida|Priapulidae|Priapulopsis bicaudatus|EU669458;Data18S_Fonseca2017;527;4;400;Priapulida;Priapulida|Priapulida|Priapulidae|Priapulopsis bicaudatus|EU669458
Ref5_ASV_0016;Ref1_ASV_0706;Ref1;Ref5;1;Data18S_Antarctica_v2;3497;2;367;Copepoda;Copepoda|Harpacticoida|Ectinosomatidae|Bradya sp. Greenland-RJH-2004|AY627016;Data18S_Fonseca2017;483;5;400;Copepoda;Copepoda|Harpacticoida|Canthocamptidae|Canthocamptus staphylinus|MF077711
Ref5_ASV_0025;Ref1_ASV_0255;Ref1;Ref5;1;Data18S_Antarctica_v2;22386;85;383;Annelida;Annelida|Polychaeta|Polynoidae|Gorgoniapolynoe caeciliae|KU738170;Data18S_Fonseca2017;332;2;400;Annelida;Annelida|Polychaeta|Polynoidae|Polyeunoa laevis|KU738176
Ref5_ASV_0025;Ref1_ASV_0255;Ref1;Ref5;1;Data18S_Antarctica_v2;22386;85;383;Annelida;Annelida|Polychaeta|Polynoidae|Gorgoniapolynoe caeciliae|KU738170;Data18S_Fonseca2017;332;2;400;Annelida;Annelida|Polychaeta|Polynoidae|Gorgoniapolynoe caeciliae|KU738172
Ref5_ASV_0025;Ref1_ASV_0255;Ref1;Ref5;1;Data18S_Antarctica_v2;22386;85;383;Annelida;Annelida|Polychaeta|Polynoidae|Gorgoniapolynoe caeciliae|KU738170;Data18S_Fonseca2017;332;2;400;Annelida;Annelida|Polychaeta|Polynoidae|Harmothoe sp. NSJC66_793_S001|KU738179
Ref5_ASV_0025;Ref1_ASV_0255;Ref1;Ref5;1;Data18S_Antarctica_v2;22386;85;383;Annelida;Annelida|Polychaeta|Polynoidae|Gorgoniapolynoe caeciliae|KU738170;Data18S_Fonseca2017;332;2;400;Annelida;Annelida|Polychaeta|Polynoidae|Gorgoniapolynoe corralophila|KU738174
Ref5_ASV_0025;Ref1_ASV_0255;Ref1;Ref5;1;Data18S_Antarctica_v2;22386;85;383;Annelida;Annelida|Polychaeta|Polynoidae|Gorgoniapolynoe caeciliae|KU738170;Data18S_Fonseca2017;332;2;400;Annelida;Annelida|Polychaeta|Polynoidae|Harmothoe rarispina|KY823451
